Date,Open,High,Low,Close,Adj Close,Volume
2016-06-16,28260.000000,28340.000000,27900.000000,28180.000000,1386.739014,14621550
2016-06-17,28200.000000,28700.000000,28200.000000,28520.000000,1403.470337,16419700
2016-06-20,28540.000000,28960.000000,28520.000000,28620.000000,1408.391479,13515800
2016-06-21,28640.000000,28980.000000,28520.000000,28960.000000,1425.122559,10020550
2016-06-22,28920.000000,29000.000000,28620.000000,28900.000000,1422.170044,8948250
2016-06-23,28880.000000,28900.000000,28540.000000,28600.000000,1407.407104,11256300
2016-06-24,28900.000000,28900.000000,27200.000000,28000.000000,1377.881104,20552600
2016-06-27,28000.000000,28100.000000,27700.000000,27960.000000,1375.912598,11839000
2016-06-28,27800.000000,28080.000000,27580.000000,27980.000000,1376.896851,10718950
2016-06-29,28160.000000,28240.000000,27820.000000,27920.000000,1424.868896,10527050
2016-06-30,28160.000000,28900.000000,27940.000000,28500.000000,1454.468506,13671700
2016-07-01,28540.000000,29580.000000,28540.000000,29320.000000,1496.316406,14393600
2016-07-04,29280.000000,29480.000000,29020.000000,29320.000000,1496.316406,7995000
2016-07-05,29320.000000,29500.000000,29240.000000,29380.000000,1499.378540,7870350
2016-07-06,28940.000000,29040.000000,28240.000000,28420.000000,1450.385742,16749150
2016-07-07,28420.000000,29000.000000,28320.000000,29000.000000,1479.985352,11495200
2016-07-08,29000.000000,29500.000000,28980.000000,29200.000000,1490.192261,13498150
2016-07-11,29200.000000,30000.000000,29200.000000,29780.000000,1519.791992,14056800
2016-07-12,29980.000000,30100.000000,29200.000000,29280.000000,1494.275146,11024700
2016-07-13,29920.000000,29920.000000,29260.000000,29620.000000,1511.626587,10009900
2016-07-14,29620.000000,30000.000000,29520.000000,30000.000000,1531.019409,12430250
2016-07-15,30000.000000,30440.000000,29720.000000,30360.000000,1549.391724,11623150
2016-07-18,30360.000000,30660.000000,30000.000000,30660.000000,1564.701904,11567200
2016-07-19,30560.000000,30800.000000,30440.000000,30660.000000,1564.701904,10122250
2016-07-20,30660.000000,30840.000000,30480.000000,30800.000000,1571.846802,7773150
2016-07-21,30800.000000,30940.000000,30740.000000,30860.000000,1574.908936,8544700
2016-07-22,30120.000000,30560.000000,30120.000000,30320.000000,1547.350342,8585150
2016-07-25,30000.000000,30460.000000,29900.000000,30040.000000,1533.060913,7732500
2016-07-26,30000.000000,30620.000000,29960.000000,30600.000000,1561.639893,7228500
